Date,Open,High,Low,Close,Adj Close,Volume
2018-02-22,4.172010,4.187480,4.170230,4.172500,4.172500,0
2018-02-23,4.180240,4.182900,4.164000,4.181000,4.181000,0
2018-02-26,4.171680,4.175900,4.161000,4.169760,4.169760,0
2018-02-27,4.168540,4.176450,4.161000,4.167950,4.167950,0
2018-02-28,4.171770,4.182200,4.167000,4.172340,4.172340,0
2018-03-01,4.173230,4.188700,4.173000,4.176300,4.176300,0
2018-03-02,4.186160,4.199450,4.183000,4.186170,4.186170,0
2018-03-05,4.189430,4.198340,4.182000,4.191140,4.191140,0
2018-03-06,4.186060,4.193700,4.175000,4.187550,4.187550,0
2018-03-07,4.186820,4.212590,4.182000,4.187350,4.187350,0
2018-03-08,4.212350,4.216000,4.196000,4.210650,4.210650,0
2018-03-09,4.203700,4.204300,4.189000,4.202900,4.202900,0
2018-03-12,4.189820,4.205810,4.183000,4.189670,4.189670,0
2018-03-13,4.202350,4.214950,4.199000,4.202420,4.202420,0
2018-03-14,4.208110,4.214800,4.194000,4.209400,4.209400,0
2018-03-15,4.199480,4.217600,4.194000,4.199830,4.199830,0
2018-03-16,4.213800,4.218100,4.208000,4.212600,4.212600,0
2018-03-19,4.217570,4.221200,4.209000,4.218100,4.218100,0
2018-03-20,4.222700,4.231700,4.216000,4.222060,4.222060,0
2018-03-21,4.229100,4.241770,4.224000,4.229000,4.229000,0
2018-03-22,4.223560,4.231300,4.213000,4.224400,4.224400,0
2018-03-23,4.222500,4.233300,4.212000,4.222500,4.222500,0
2018-03-26,4.229000,4.232620,4.212000,4.229050,4.229050,0
2018-03-27,4.220380,4.222700,4.205000,4.221000,4.221000,0
2018-03-28,4.208870,4.214800,4.198000,4.210700,4.210700,0
2018-03-29,4.205070,4.213600,4.198000,4.206000,4.206000,0
2018-03-30,4.204550,4.213700,4.202900,4.204410,4.204410,0
2018-04-02,4.210910,4.216600,4.206910,4.210680,4.210680,0
2018-04-03,4.208000,4.211700,4.192000,4.207110,4.207110,0
2018-04-04,4.192000,4.209900,4.190000,4.191910,4.191910,0
2018-04-05,4.201700,4.207500,4.191000,4.201320,4.201320,0
2018-04-06,4.193000,4.201720,4.188000,4.192650,4.192650,0
2018-04-09,4.197400,4.199600,4.187000,4.195480,4.195480,0
2018-04-10,4.191230,4.201500,4.181000,4.193300,4.193300,0
2018-04-11,4.187050,4.195310,4.182000,4.186950,4.186950,0
2018-04-12,4.183750,4.189200,4.173000,4.183900,4.183900,0
2018-04-13,4.179100,4.179700,4.161000,4.178320,4.178320,0
2018-04-16,4.166100,4.168700,4.147000,4.164850,4.164850,0
2018-04-17,4.151670,4.163050,4.147000,4.151330,4.151330,0
2018-04-18,4.161180,4.173800,4.156000,4.162300,4.162300,0
2018-04-19,4.161530,4.169900,4.157000,4.161900,4.161900,0
2018-04-20,4.163400,4.172900,4.161000,4.163220,4.163220,0
2018-04-23,4.174650,4.204200,4.170000,4.174710,4.174710,0
2018-04-24,4.200690,4.209300,4.193000,4.201800,4.201800,0
2018-04-25,4.206350,4.238000,4.206000,4.207200,4.207200,0
2018-04-26,4.224780,4.239210,4.221000,4.224800,4.224800,0
2018-04-27,4.226110,4.233950,4.204000,4.227700,4.227700,0
2018-04-30,4.206980,4.237160,4.201000,4.207140,4.207140,0
2018-05-01,4.237800,4.289570,4.234380,4.236740,4.236740,0
2018-05-02,4.274110,4.283300,4.249000,4.272740,4.272740,0
2018-05-03,4.267910,4.278900,4.256930,4.268770,4.268770,0
2018-05-04,4.266300,4.277590,4.237730,4.264210,4.264210,0
2018-05-07,4.244300,4.261800,4.242000,4.243380,4.243380,0
2018-05-08,4.259600,4.287800,4.251000,4.258920,4.258920,0
2018-05-09,4.279470,4.296000,4.256000,4.280600,4.280600,0
2018-05-10,4.261900,4.264900,4.234610,4.262200,4.262200,0
2018-05-11,4.250180,4.264790,4.248300,4.250250,4.250250,0
2018-05-14,4.263000,4.267300,4.252000,4.261020,4.261020,0
2018-05-15,4.270370,4.299200,4.268000,4.270880,4.270880,0
2018-05-16,4.297710,4.299650,4.272000,4.297220,4.297220,0
2018-05-17,4.272000,4.299680,4.269000,4.272300,4.272300,0
2018-05-18,4.295800,4.302500,4.282000,4.296900,4.296900,0
2018-05-21,4.299880,4.312810,4.291000,4.300700,4.300700,0
2018-05-22,4.289700,4.293030,4.266000,4.289100,4.289100,0
2018-05-23,4.280900,4.313280,4.280860,4.283100,4.283100,0
2018-05-24,4.300360,4.316100,4.287000,4.300480,4.300480,0
2018-05-25,4.307000,4.317490,4.292000,4.308120,4.308120,0
2018-05-28,4.307500,4.309300,4.291000,4.308600,4.308600,0
2018-05-29,4.299900,4.317650,4.296000,4.299660,4.299660,0
2018-05-30,4.335000,4.340060,4.302000,4.334010,4.334010,0
2018-05-31,4.308350,4.320990,4.298000,4.306200,4.306200,0
2018-06-01,4.314900,4.320690,4.300000,4.314160,4.314160,0
2018-06-04,4.297900,4.302900,4.278000,4.300050,4.300050,0
